序号,角色,名称
0,系统管理员(非审核员),PPM系统管理员
1,系统管理员(审核员),PPM系统管理员
2,投资审查员,投资审查员
3,领导,领导
4,理财产品信息管理员,理财产品信息管理员
5,投资品信息管理员,投资品信息管理员
6,客户信息管理员,客户信息管理员
7,投资业务交易员,投资业务交易员
8,其他对外支付交易员,其他对外支付交易员
9,账务员,账务员
10,审批参数管理员(非审核员),审批参数管理员
11,审批参数管理员(审核员),审批参数管理员
12,风险管理员,风险管理员
13,净值管理员,净值管理员
14,前台投资组合管理员,前台投资组合管理员
15,中台投资组合管理员,中台投资组合管理员
16,机构信息管理员,机构信息管理员
17,全行信息管理员,全行信息管理员
18,报送信息管理员,报送信息管理员
19,报送信息查询员,报送信息查询员
20,流动性风险管理员,流动性风险管理员
21,报表自定义管理员,报表自定义管理员
22,收入分配业务员,收入分配业务员
23,销售数据报送管理员,销售数据报送管理员
24,用印员,用印员
25,分行管理员,分行管理员
26,风险限额管理员(非审核员),风险限额管理员
27,风险限额管理员(审核员),风险限额管理员
28,集中交易员,集中交易员
29,配置经理,配置经理
30,钥匙管理员,钥匙管理员
31,监印员,监印员
32,中台信用评级员,中台信用评级员
33,合规交易审查员,合规交易审查员
34,档案管理员,档案管理员
35,投后管理员,投后管理员
36,量化交易员,量化交易员
37,销售清算员,销售清算员
